,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20
Kim Bron Son,1500,1506.6666666666667,1483.6211476392125,1475.148206193003,1478.7104528394307,1485.4039341634927,1498.3584096021066,1507.2708723938174,1503.4245330324447,1478.9687648275813,1469.8790252020765,1474.117756187943,1487.0307455899226,1504.5437840011357,1486.2723979068135,1510.1851045657268,1504.032299302881,1514.5102094869808,1518.2585570327572,1517.8788148707918,1528.672621365018
Akarmazin,1500,1493.3333333333333,1477.5298977166265,1472.6742369772821,1458.5516610647699,1462.1926220901883,1459.509887331006,1470.5729714027477,1467.9022615766694,1464.2282648759112,1471.734312030007,1486.236156616923,1473.6777142603537,1485.9414740295174,1504.2128601238396,1490.0153776557734,1481.8822903647692,1474.024733279099,1459.4859814593642,1488.6750721803337,1494.1451959278752
dbyun89,1500,1486.6666666666667,1511.1507276907532,1500.6494737077546,1490.3764001705526,1481.016077076911,1468.0616016382971,1465.6127790421601,1450.1398689323905,1454.9870690571868,1461.6823199142727,1456.5342125435793,1469.0926549001485,1459.3776729606504,1445.9919434605779,1454.1559140852,1462.6889483652524,1470.3739194391542,1475.035118937264,1475.4148610992295,1462.3431595501447
Teenage Mutant Ninja Poetls,1500,1496.6666666666667,1482.2980742141442,1498.7663120960121,1491.6738464870737,1469.7285068560084,1472.4112416151906,1462.077457095782,1458.5965739315964,1474.6347361781995,1479.284081491931,1484.4321888626243,1496.835336182271,1479.322297771058,1473.410227991557,1487.9325913389973,1471.4679188358327,1455.8002989330112,1450.0924019070567,1420.9033111860872,1421.1061153209027
LeBong James,1500,1476.6666666666667,1473.3333333333335,1493.8347240951252,1500.9271897040637,1497.2862286786453,1491.0064072324844,1469.9797360204768,1486.4577321090305,1494.0862871126753,1487.3910362555894,1507.9602570958448,1495.0472676938653,1487.114751029043,1494.429838889679,1475.7981828037475,1483.0423453364144,1498.709965239236,1513.248717058971,1527.0737369848662,1525.0131686433137
Tembanyama,1500,1476.6666666666667,1480.0,1463.531762118132,1477.6543380306443,1468.9678231790206,1477.1807797659417,1472.6460697537173,1467.6871465712702,1462.839946446474,1480.3677892460685,1476.1290582602019,1461.9354905922721,1479.4642740387083,1471.640302620972,1490.2719587069037,1506.7366312100683,1514.5941882957384,1493.1352725598058,1475.7963268654003,1454.375314536439
Good Night and Good Luka,1500,1500.0,1475.5159389759135,1477.799345345781,1474.2370986993533,1466.4825020943117,1463.2599681077313,1467.7946781199557,1451.316682031402,1435.2785197847988,1427.772472630703,1420.8118607173687,1431.8157152325566,1434.4343913629248,1424.7019378263458,1416.5379672017236,1431.3156658748223,1420.8377556907226,1421.565937773461,1420.2673330014852,1441.6883453304465
fuzzard,1500,1500.0,1505.3450716874158,1515.8463256704144,1517.7889171079357,1511.0954357838737,1540.832034082906,1531.586709451452,1536.545632633899,1528.9170776302542,1524.2677323165228,1509.765887729607,1510.0043953374168,1516.218621835923,1525.951075372502,1514.9887364817869,1506.4557022017345,1519.3168729897975,1515.5685254440211,1508.5403059283183,1493.4329040767805
Jokic: Folie A Deux,1500,1503.3333333333333,1519.13676895004,1510.3371058170753,1500.29025664792,1508.0448532529615,1478.3082549539292,1480.7570775500662,1490.4193351205763,1514.8751033254398,1494.4439016980268,1504.8356244955448,1519.0291921634746,1526.9617088282969,1532.873778607798,1547.0712610758642,1557.148772488271,1550.8266924464288,1550.0985103636904,1557.1267298793932,1570.198431428478
Edey Money Sniper,1500,1510.0,1533.0455190274542,1541.845182160419,1531.9066960118541,1540.593210863478,1546.8730323096388,1557.2068168290475,1559.8775266551258,1555.1635456378783,1544.3685737585208,1551.3291856718552,1551.0906780640453,1560.8056600035434,1571.881643830758,1547.9689371718448,1537.8914257594379,1536.330481869447,1557.7893976053797,1543.9643776794844,1543.7615735446689
ChampagniePapi,1500,1513.3333333333333,1501.3215949792507,1509.7945364254601,1519.8413855946155,1525.986077906874,1517.773121319953,1538.7997925319605,1542.280675696146,1545.9546723969042,1556.7496442762617,1554.4755394803014,1543.4716849651136,1537.2574584666074,1550.64318796668,1554.9868646009495,1561.1396698637952,1567.4617499056376,1563.5040727798296,1580.8430184742351,1582.9035868157875
Clingan On,1500,1490.0,1502.0117383540826,1499.7283319842152,1497.785740546694,1507.1460636403356,1485.7579171192406,1476.8454543275298,1467.1831967570197,1472.8161283961442,1455.2882855965497,1434.7190647562943,1422.3159174366476,1410.052157667484,1398.9761738402692,1394.6324972059997,1379.854798532901,1366.993627744838,1362.332428246728,1363.1841562561933,1352.3903497619672
10connorsj,1500,1523.3333333333333,1517.9882616459174,1497.4868708841257,1507.7599444213276,1529.705284052393,1551.093430573488,1540.0303465017462,1543.8766858631188,1548.5906668803664,1569.0218685077793,1571.2959733037396,1587.6225564730892,1585.003880342721,1592.8278517604572,1603.7901906511722,1596.5460281185053,1588.8610570446035,1594.568954070558,1593.7172260610928,1588.2471023135513
johqui1092,1500,1523.3333333333333,1537.7019257858558,1542.5575865252001,1552.496072673765,1546.3513803615065,1549.5739143480869,1558.8192389795408,1574.2921490893104,1568.659217450186,1577.7489570756907,1567.3572342781727,1551.0306511088231,1533.501867662387,1526.1867798017508,1511.6644164543104,1519.7975037453145,1521.3584476353053,1525.3161247611133,1526.614729533089,1541.722131384627
